accession,secondary_accession,bioproject,study_name,body_sites,samples_count,biome_lineages,centre_name,last_update
MGYS00005184,ERP016515,PRJEB14839,Association of host genome with intestinal microbial composition in a large healthy cohort,gut,1557,root:Host-associated:Human:Digestive system:Large intestine:Fecal,UNIVERSITY OF TORONTO,2020-04-08T12:46:45
MGYS00005191,SRP125127,PRJNA418765,Microbiota of Ustekinumab-treated Crohn's subjects.,gut,1537,root:Host-associated:Human:Digestive system:Large intestine:Fecal,University of Michigan Medical School Host Microbiome Initiative,2020-04-20T13:59:01
MGYS00005172,SRP113602,PRJNA395539,Topical treatment interventions elicit personalized and site-specific shifts in human skin bacterial communities,skin,1484,root:Host-associated:Human:Skin,University of Pennsylvania,2020-06-21T08:22:41
MGYS00005224,SRP163504,PRJNA482032,human nose/throat Targeted loci,respiratory,1422,root:Host-associated:Human:Respiratory system:Nasopharyngeal,University of Michigan,2020-04-27T15:14:12
MGYS00005173,SRP124475,PRJNA417357,Infant (COPSAC) feces microbiome Raw sequence reads,gut,1384,root:Host-associated:Human:Digestive system:Large intestine:Fecal,University of Copenhagen,2020-06-21T08:38:19
MGYS00006638,SRP351807,PRJNA790843,Early life nasopharyngeal bacteriome in a low-income community in South Africa,respiratory,1370,root:Host-associated:Human:Respiratory system:Nasopharyngeal,University of Cape Town,2024-03-25T17:59:56
MGYS00005197,SRP128931,PRJNA427101,Human oral microbiome of Spanish adolescents,oral,1319,root:Host-associated:Human:Digestive system:Oral:Saliva,Center for Genomic Regulation,2020-04-26T13:05:31
MGYS00003733,SRP096283,PRJNA354235,Human gut metagenome and metatranscriptome raw sequence reads.,gut,1307,root:Host-associated:Human:Digestive system:Large intestine:Fecal,Harvard School of Public Health,2019-11-07T16:53:29
MGYS00005225,SRP165757,PRJNA436359,Gut microbial factors implicated in disease progression and treatment response in pediatric ulcerative colitis,gut,1207,root:Host-associated:Human:Digestive system:Large intestine:Fecal,Harvard T.H. Chan School of Public Health,2020-04-26T13:04:04
MGYS00005128,ERP117839,PRJEB34871,Predicting antibiotic resistance in clinical infections caused by Enterobacterales from aggregated population-level taxonomy-adjusted AMR estimates derived from quantitative metagenomic analysis of pooled human faecal samples,gut,1197,root:Host-associated:Human:Digestive system:Large intestine:Fecal,CENTRE FOR ECOLOGY AND HYDROLOGY,2020-02-04T14:43:01
MGYS00005202,ERP111526,PRJEB29239,using fecal microbiota composition as a non-invasive diagnostic tool to classify colorectal carcinoma and adenoma.,gut,1185,root:Host-associated:Human:Digestive system:Large intestine:Fecal,New horizon health technology Co. ltd,2022-07-07T23:15:58
MGYS00003481,ERP108957,PRJEB26926,EMG produced TPA metagenomics assembly of the Human gut metagenome and metatranscriptome raw sequence reads. (256318) data set.,gut,1155,root:Host-associated:Human:Digestive system:Large intestine:Fecal,EMG,2020-05-21T10:36:55
MGYS00005195,SRP042023,PRJNA234437,GEMS diarrheal case/control study Targeted Locus (Loci),gut,1016,root:Host-associated:Human:Digestive system:Large intestine:Fecal,University of Maryland,2020-04-20T15:47:12
MGYS00003715,ERP107577,PRJEB25642,LogMPIE: Landscape Of Gut Microbiome - Pan India Exploration,gut,1004,root:Host-associated:Human:Digestive system:Large intestine:Fecal,"Bioinformatics Lab, Innovation Center",2019-01-15T11:52:08
MGYS00002360,ERP005150,PRJEB5726,Flores_tongue_EBI,oral,947,root:Host-associated:Human:Digestive system:Oral:tongue dorsum,CCME-COLORADO,2018-04-26T10:21:40
MGYS00005156,ERP005152,PRJEB5728,Flores_forehead_EBI,skin,938,root:Host-associated:Human:Skin,CCME-COLORADO,2024-01-23T15:27:26
MGYS00005230,ERP005153,PRJEB5729,Flores_fecal_EBI,gut,915,root:Host-associated:Human:Digestive system:Large intestine:Fecal,CCME-COLORADO,2024-06-28T15:19:05
MGYS00005259,SRP128128,PRJNA428736,Dynamics of human gut microbiota and metabolites in response to prebiotic interventions,gut,914,root:Host-associated:Human:Digestive system:Large intestine:Fecal,mothur,2020-06-21T08:51:46
MGYS00006389,SRP340436,PRJNA769290,Impact of long-term azithromycin treatment on the respiratory microbiome in HIV-associated chronic lung disease,respiratory,894,root:Host-associated:Human:Respiratory system:Pulmonary system:Sputum,University of Cape Town,2023-09-03T04:34:41
MGYS00005314,SRP158570,PRJNA485316,Fecal microbiota of patients over time at one long-term acute care hospital,gut,876,root:Host-associated:Human:Digestive system:Large intestine:Fecal,University of Michigan,2020-05-02T02:23:59
MGYS00005158,ERP012215,PRJEB10913,vaginal microbiota of pregnant women,urogenital,853,root:Host-associated:Human:Reproductive system:Vagina,SMU,2020-02-10T10:09:54
MGYS00005505,SRP092421,PRJNA352060,Longitudinal microbiome analyses of acute myelogenous leukemia patients during induction chemotherapy,gut,850,root:Host-associated:Human:Digestive system:Large intestine:Fecal,Alkek Center for Metagenomics and Microbiome Research,2020-06-14T14:18:57
MGYS00006345,SRP271095,PRJNA645089,EcoCF- Pediatric CF lung microbiomes,respiratory,844,root:Host-associated:Human:Respiratory system:Pulmonary system:Lung,University of Pennsylvania,2023-09-02T04:10:15
MGYS00005239,SRP043574,PRJNA232731,DIPP Stool Metagenome,gut,838,root:Host-associated:Human:Digestive system:Large intestine:Fecal,University of Florida,2020-06-21T06:48:08
MGYS00005203,ERP022127,PRJEB20022,16S rRNA gene sequencing and healthy reference ranges for 28 clinically relevant microbial taxa from the human gut microbiome,gut,832,root:Host-associated:Human:Digestive system:Large intestine:Fecal,uBiome,2020-04-29T20:40:35
MGYS00001278,ERP006059,PRJEB6518,Host lifestyle affects human microbiota on daily timescales,gut,820,root:Host-associated:Human:Digestive system:Large intestine:Fecal,CCME-COLORADO,2024-01-08T13:29:07
MGYS00005198,SRP181937,PRJNA516932,Effects of ursodeoxycholic acid on the gut microbiome and colorectal adenoma development.,gut,801,root:Host-associated:Human:Digestive system:Large intestine:Fecal,Northern Arizona University,2020-05-02T02:23:31
MGYS00005232,ERP005182,PRJEB5758,Dorrestein_3D_metabolic_map,skin,793,root:Host-associated:Human:Skin,CCME-COLORADO,2024-04-09T21:05:38
MGYS00001748,ERP005883,PRJEB6358,"Effects of cholera on the human gut microbiota, and interactions between human gut microbes and Vibrio cholerae.",gut,768,root:Host-associated:Human:Digestive system:Large intestine:Fecal,WASHINGTON UNIVERSITY CENTER FOR GENOME SCIENCES,2017-05-16T16:42:01
MGYS00005223,SRP126884,PRJNA419038,Simple statistical identification and removal of contaminant sequences in marker-gene and metagenomics data,oral,767,root:Host-associated:Human:Digestive system:Oral,Stanford University,2020-05-02T02:22:32
MGYS00006273,ERP119164,PRJEB36034,Longitudinal CF Study,respiratory,751,root:Host-associated:Human:Respiratory system:Pulmonary system:Sputum,UCSDMI,2023-09-01T18:42:08
MGYS00005176,SRP109293,PRJNA390646,Infant Microbiota and Probiotic Intake Study (IMPRINT),gut,750,root:Host-associated:Human:Digestive system:Large intestine:Fecal,"Evolve Biosystems, Inc",2022-03-16T13:30:34
MGYS00005340,SRP090628,PRJNA290380,"A longitudinal analysis of the developing gut microbiome in infants from Finland, Estonia, and Russian Karelia",gut,744,root:Host-associated:Human:Digestive system,The Broad Institute,2020-05-17T09:58:05
MGYS00005506,SRP115814,PRJNA399163,Chemotherapy Induced Oral Mucositis and Microbiome,oral,722,root:Host-associated:Human:Digestive system:Oral,Jackson Laboratory Genomic Medicine,2020-06-14T14:15:15
MGYS00004729,ERP020597,PRJEB18650,Nasopharyngeal_microbiota_in_Maela_Thailand,respiratory,720,root:Host-associated:Human:Respiratory system:Nasopharyngeal,SC,2022-03-11T22:24:15
MGYS00006477,SRP102480,PRJNA380493,COPDMAP lung microbiome,respiratory,715,root:Host-associated:Human:Respiratory system:Pulmonary system:Lung,GlaxoSmithKline R&D,2023-09-25T21:07:11
MGYS00001809,ERP023432,PRJEB21196,Randomized controlled trial on the impact of early live intervention with bifidobacteria on the healthy infant fecal microbiota and metabolite profile,gut,712,root:Host-associated:Human:Digestive system:Large intestine:Fecal,TUM,2017-06-14T11:20:54
MGYS00005206,ERP017440,PRJEB15613,Microbial drivers of the human pharyngeal microbiome are associated with age-related macular degeneration,respiratory,696,root:Host-associated:Human:Respiratory system:Nasopharyngeal,Genome Institute of Singapore,2020-05-10T11:08:31
MGYS00006759,ERP146353,PRJEB61255,EMG produced TPA metagenomics assembly of PRJNA834801 data set (Characterizing dysbiosis of the Parkinson's disease gut microbiome using shotgun metagenomics).,gut,692,root:Host-associated:Human:Digestive system:Large intestine:Fecal,EMG,2025-03-17T10:04:29
MGYS00005384,SRP049645,PRJNA266117,Human skin bacterial metagenome and Virome Metagenome,skin,674,root:Host-associated:Human:Skin,University of Pennsylvania,2022-04-15T08:25:22
MGYS00005211,SRP058088,PRJNA283106,Composition and temporal stability of the gut microbiota in older persons,gut,665,root:Host-associated:Human:Digestive system:Large intestine:Fecal,University College Cork,2020-04-29T20:33:15
MGYS00001220,SRP049113,PRJNA263853,Human gut microbiota from the ALADDIN study,gut,664,root:Host-associated:Human:Digestive system:Large intestine:Fecal,Swedish University of Agricultural Sciences,2019-11-07T16:53:08
MGYS00005194,ERP112757,PRJEB30316,the upper respiratory tract microbiome of chronic rhinosinusitis patients,respiratory,663,root:Host-associated:Human:Respiratory system:Nasopharyngeal,University of Antwerp,2020-05-02T02:22:55
MGYS00005212,SRP071579,PRJNA314604,Body site is a more determinant factor than human population diversity in healthy skin microbiome,skin,644,root:Host-associated:Human:Skin,NYU Langone Medical Center,2020-05-02T01:48:06
MGYS00001745,ERP022836,PRJEB20665,Ventilator-associated pneumonia,respiratory,642,root:Host-associated:Human:Respiratory system:Pulmonary system,GUH,2017-05-11T11:04:18
MGYS00006530,SRP184496,PRJNA520924,CF airway microbiota within baseline clinical state,respiratory,632,root:Host-associated:Human:Respiratory system:Pulmonary system:Lung,University of Michigan,2023-09-27T12:16:05
MGYS00005261,SRP127076,PRJNA423040,Fluctuations in airway bacterial communities associated with clinical states and disease stages in cystic fibrosis,respiratory,631,root:Host-associated:Human:Respiratory system:Pulmonary system:Sputum,University of Michigan,2023-09-13T12:13:41
MGYS00006472,SRP110811,PRJNA392272,Examination of microbes in sarcoidosis BAL and tissue. Raw sequence reads,respiratory,629,root:Host-associated:Human:Respiratory system:Pulmonary system:Lung,University of Pennsylvania,2023-09-26T12:26:39
MGYS00005269,ERP111364,PRJEB29091,16S rRNA gene sequencing data from throat swabs from participants in the Busselton Health Study,respiratory,618,root:Host-associated:Human:Respiratory system:Nasopharyngeal:Pharynx,"NATIONAL HEART AND LUNG INSTITUTE, IMPERIAL COLLEGE LONDON",2023-09-27T12:06:07
MGYS00005219,SRP148278,PRJNA471742,A Multi-Omic Association Study of Trimethylamine N-Oxide,gut,615,root:Host-associated:Human:Digestive system:Large intestine:Fecal,Arivale Inc.,2020-05-06T01:24:51
MGYS00005253,ERP108620,PRJEB26618,Early development of the airway microbiota in infants with cystic fibrosis,oral,606,root:Host-associated:Human:Digestive system:Oral:Throat,"NATIONAL HEART AND LUNG INSTITUTE, IMPERIAL COLLEGE LONDON",2023-09-26T22:09:05
MGYS00006478,SRP102629,PRJNA377739,GlaxoSmithKline - UofSouthampton - AERIS COPD Lung Microbiome,respiratory,584,root:Host-associated:Human:Respiratory system:Pulmonary system:Lung,GlaxoSmithKline,2023-09-12T10:55:51
MGYS00005533,ERP016280,PRJEB14627,Patterns in the skin microbiota differ in children and teenagers between rural and urban environments,skin,584,root:Host-associated:Human:Skin,UNIVERSITY OF HELSINKI,2020-06-21T07:23:02
MGYS00006562,ERP150486,PRJEB65351,EMG produced TPA metagenomics assembly of PRJEB54673 data set (Paediatric Oral Microbiome).,oral,554,root:Host-associated:Human:Digestive system:Oral,EMG,2024-04-24T15:40:21
MGYS00006342,SRP261392,PRJNA632472,Airway host-microbiome interplay associated with chronic obstructive pulmonary disease,respiratory,546,root:Host-associated:Human:Respiratory system:Pulmonary system:Lung,University of Leicester,2023-09-02T02:05:32
MGYS00005531,ERP013986,PRJEB12500,Genetic associaiton with vaginal microbiome in Korean twins,urogenital,541,root:Host-associated:Human:Reproductive system:Vagina,SNU,2020-06-21T06:51:25
MGYS00002187,SRP104798,PRJNA383868,Metagenomics of the Microbiome in Oral Health and Disease,oral,540,root:Host-associated:Human:Digestive system:Oral,J. Craig Venter Institute,2019-11-07T16:54:02
MGYS00006248,ERP124419,PRJEB40753,The microbial pathology of asthma,respiratory,539,root:Host-associated:Human:Respiratory system:Pulmonary system:Lung,"NATIONAL HEART AND LUNG INSTITUTE, IMPERIAL COLLEGE LONDON",2023-07-18T16:58:01
MGYS00006442,SRP168337,PRJNA503799,Cystic fibrosis lung microbiome.,respiratory,535,root:Host-associated:Human:Respiratory system:Pulmonary system:Sputum,McMaster University,2023-09-05T15:44:47
MGYS00005189,DRP004640,PRJDB7737,Anaerobic microbial community enriched with amino acids,oral,530,root:Host-associated:Human:Digestive system:Oral:tongue dorsum,UIUC,2020-05-23T08:06:55
MGYS00005154,ERP001500,PRJEB3079,Human gut microbiome viewed across age and geography,gut,529,root:Host-associated:Human:Digestive system:Large intestine,CCME-COLORADO,2024-04-11T19:25:08
MGYS00005238,SRP051059,PRJNA269787,Human skin microbiota Metagenome,skin,527,root:Host-associated:Human:Skin,Fudan University,2020-02-10T09:59:01
MGYS00005262,SRP136173,PRJNA439436,The impact of tampon use on the vaginal microbiota,urogenital,525,root:Host-associated:Human:Reproductive system:Vagina,mothur,2020-06-21T09:08:05
MGYS00005304,SRP125205,PRJNA418131,NTM Human Microbiome and Inflammation Study,respiratory,521,root:Host-associated:Human:Respiratory system:Pulmonary system:Lung,New York University School of Medicine,2023-09-25T15:19:49
MGYS00005528,DRP004359,PRJDB7124,Population-based study on tongue microbiota composition of Japanese elderly adults,oral,506,root:Host-associated:Human:Digestive system:Oral:tongue dorsum,KYUSHU,2020-06-21T10:01:50
MGYS00005383,ERP116532,PRJEB33718,EMG produced TPA metagenomics assembly of the PRJNA266117 data set (Human skin bacterial metagenome and Virome Metagenome).,skin,504,root:Host-associated:Human:Skin,EMG,2020-05-21T03:51:29
MGYS00005234,ERP006342,PRJEB6705,Goodrich_TwinsUK_Miseq_2,gut,502,root:Host-associated:Human:Digestive system:Large intestine:Fecal,CCME-COLORADO,2024-01-23T14:40:52
MGYS00005167,SRP108387,PRJNA388707,Perth Otitis Media Microbiome (biOMe) Study (16S rRNA amplicon data),respiratory,494,root:Host-associated:Human:Respiratory system:Nasopharyngeal,The University of Western Australia,2020-06-21T07:37:34
MGYS00005248,SRP110729,PRJNA392354,Cervical Microbiota Associated with Higher Grade Cervical Intraepithelial Neoplasia in Women Infected with High-Risk Human Papillomaviruses,urogenital,493,root:Host-associated:Human:Reproductive system:Vagina:posterior fornix,University of Alabama at Birmingham,2020-02-10T11:18:14
MGYS00006263,ERP110514,PRJEB28323,The effect of RSV-A M37 infection on the respiratory microbiome of adults,oral,489,root:Host-associated:Human:Digestive system:Oral:Throat,"NATIONAL HEART AND LUNG INSTITUTE, IMPERIAL COLLEGE LONDON",2023-07-29T14:53:07
MGYS00005235,ERP010289,PRJEB9205,16S rRNA gene sequences of human gut microbiota,gut,487,root:Host-associated:Human:Digestive system:Large intestine:Fecal,SNU,2020-02-10T09:56:47
MGYS00001701,ERP022287,PRJEB20159,"The vaginal and urinary microbiota in health, during BV and after treatment",urogenital,487,root:Host-associated:Human:Reproductive system:Vagina,HELMHOLTZ CENTRE FOR INFECTION RESEARCH,2017-04-20T09:25:22
MGYS00005236,ERP006339,PRJEB6702,Human genetics shape the gut microbiome,gut,486,root:Host-associated:Human:Digestive system:Large intestine:Fecal,CCME-COLORADO,2022-03-15T12:12:56
MGYS00005221,SRP131268,PRJNA419002,Nasal Microbiome Samples from NYU-Rutgers Cohort,respiratory,483,root:Host-associated:Human:Respiratory system:Nasopharyngeal:Nasal cavity,New York University School of Medicine,2020-05-19T07:51:48
MGYS00006269,ERP116225,PRJEB33434,Characterizing the Fungal Airway Microbiome in Cystic Fibrosis and Bronchiectasis by Next Generation Sequencing,respiratory,478,root:Host-associated:Human:Respiratory system:Pulmonary system:Sputum,"NATIONAL HEART AND LUNG INSTITUTE, IMPERIAL COLLEGE LONDON",2023-09-01T15:43:32
MGYS00006407,SRP065072,PRJNA299077,Lung microbiome dynamics in chronic obstructive pulmonary disease exacerbations,respiratory,476,root:Host-associated:Human:Respiratory system:Pulmonary system:Sputum,GlaxoSmithKline,2023-09-03T11:39:52
MGYS00006322,SRP040237,PRJNA241408,Human respiratory tract mycobiome and alterations in HIV infection and lung disease Targeted Locus (Loci),respiratory,466,root:Host-associated:Human:Respiratory system:Pulmonary system:Lung,Center for Vaccine Research,2023-09-01T20:57:11
MGYS00005159,SRP062005,PRJNA290926,Microbiome analysis complements fecal occult blood test for improved detection,gut,464,root:Host-associated:Human:Digestive system:Large intestine:Fecal,University of Michigan,2020-02-10T10:11:06
MGYS00006434,ERP110351,PRJEB28175,Neutrophilic Proteolysis in the Cystic Fibrosis Lung Favors a Pathogenic Microbiome,respiratory,444,root:Host-associated:Human:Respiratory system:Pulmonary system:Sputum,UCSDMI,2023-09-05T13:10:11
MGYS00005247,DRP003338,PRJDB4998,Fecal microbiota of Japanese healthy adults,gut,443,root:Host-associated:Human:Digestive system:Large intestine:Fecal,YAKULT_CENTRAL,2020-02-09T17:10:12
MGYS00006355,SRP289725,PRJNA673153,Lung microbiota associations with clinical features of COPD in the SPIROMICS cohort,respiratory,428,root:Host-associated:Human:Respiratory system:Pulmonary system:Lung,University of Michigan,2023-09-02T05:36:24
MGYS00006524,SRP201083,PRJNA548310,Human respiratory disease lung microbiome,respiratory,425,root:Host-associated:Human:Respiratory system:Pulmonary system:Lung,University of Dundee,2023-09-25T23:24:44
MGYS00005379,ERP116514,PRJEB33701,EMG produced TPA metagenomics assembly of the PRJNA46333 data set (Gene-Environment Interactions at the Skin Surface).,skin,420,root:Host-associated:Human:Skin,EMG,2021-11-13T04:55:44
MGYS00006260,ERP110498,PRJEB28311,Human lung microbiome in Cystic Fibrosis - 3D reconstruction,respiratory,412,root:Host-associated:Human:Respiratory system:Pulmonary system:Lung,UCSDMI,2023-07-28T20:17:00
MGYS00001189,SRP073172,PRJNA318004,DNA from FIT can replace stool for microbiota-based colorectal,gut,408,root:Host-associated:Human:Digestive system:Large intestine:Fecal,mothur,2024-01-12T14:50:59
MGYS00001799,ERP005989,PRJEB6456,Dynamics and Stabilization of the Human Gut Microbiome during the First Year of Life,gut,400,root:Host-associated:Human:Digestive system:Large intestine:Sigmoid colon,BGI,2017-06-12T09:52:24
MGYS00002019,ERP104039,PRJEB22360,EMG produced TPA metagenomics assembly of the Dynamics and Stabilization of the Human Gut Microbiome during the First Year of Life (InfantGut) data set,gut,400,root:Host-associated:Human:Digestive system:Large intestine:Sigmoid colon,EMBL-EBI,2020-05-12T09:30:31
MGYS00006378,SRP319422,PRJNA729425,The role of respiratory microbiome in early bactericidal activity of anti-tuberculosis therapy and treatment outcome,respiratory,398,root:Host-associated:Human:Respiratory system:Pulmonary system:Sputum,Rhodes University,2023-09-02T23:21:44
MGYS00001705,ERP002061,PRJEB1220,A method for identifying metagenomic species and variable genetic elements by exhaustive co-abundance binning,gut,396,root:Host-associated:Human:Digestive system:Large intestine:Fecal,BGI,2017-04-24T14:29:11
MGYS00003468,ERP107929,PRJEB25962,EMG produced TPA metagenomics assembly of the A method for identifying metagenomic species and variable genetic elements by exhaustive co-abundance binning () data set.,gut,396,root:Host-associated:Human:Digestive system:Large intestine:Fecal,EMG,2024-01-23T15:36:44
MGYS00005266,SRP132490,PRJNA326441,human vaginal metagenome Genome sequencing and assembly,urogenital,394,root:Host-associated:Human:Reproductive system:Vagina,Virginia Commonwealth University,2020-02-10T11:04:28
MGYS00006320,SRP039515,PRJNA238324,Human airway Targeted Locus (Loci),oral,392,root:Host-associated:Human:Digestive system:Oral:Throat,University of Colorado,2023-09-01T19:48:53
MGYS00002425,ERP106708,PRJEB24849,EMG produced TPA metagenomics assembly of the Metagenomic sequencing of preterm infant gut microbiota raw sequence reads () data set.,gut,387,root:Host-associated:Human:Digestive system:Large intestine|root:Host-associated:Human:Digestive system:Large intestine:Fecal,EMBL-EBI,2024-02-02T21:05:36
MGYS00006408,SRP065274,PRJNA299510,Pathogensis of Obstruction/Emphysema and the Microbiome in HIV Targeted Locus (Loci),respiratory,378,root:Host-associated:Human:Respiratory system:Pulmonary system|root:Host-associated:Human:Respiratory system:Pulmonary system:Lung,New York University,2023-09-03T11:41:55
MGYS00000314,SRP008047,,BGI Type 2 Diabetes study,gut,370,root:Host-associated:Human:Digestive system:Large intestine,BGI,2016-01-20T14:12:06
MGYS00005285,ERP112428,PRJEB30046,EMG produced TPA metagenomics assembly of the A metagenome-wide association study of gut microbiota in type 2 diabetes. (gut metagenome) data set.,gut,369,root:Host-associated:Human:Digestive system:Large intestine,EMG,2020-05-17T23:01:35
MGYS00004728,SRP057027,,"Inflammation, Antibiotics, and Diet as Concurrent Environmental Stressors of the Gut Microbiome in Pediatric Crohn's Disease",gut,369,root:Host-associated:Human:Digestive system:Large intestine:Fecal,UPENNBL,2019-05-14T09:59:32
MGYS00006387,SRP334144,PRJNA757607,Oral microbes contribute to the majority of lung microbiota and indicate lung health,respiratory,353,root:Host-associated:Human:Respiratory system:Nasopharyngeal,Sun Yat-sen University,2023-09-03T01:24:08
MGYS00006520,SRP200046,PRJNA545477,"Lung and gut microbiota are altered by hyperoxia and contribute to oxygen-induced lung injury, part III",respiratory,352,root:Host-associated:Human:Respiratory system:Pulmonary system:Lung,University of Michigan,2023-09-25T21:05:23
MGYS00001255,SRP068240,PRJNA307231,Human feces metagenome 16s rDNA sequencing,gut,350,root:Host-associated:Human:Digestive system:Large intestine:Fecal,IrsiCaixa Foundation,2024-01-12T14:01:54
MGYS00006522,SRP425510,PRJNA940725,LHMP - 16S V4 Sequencing of BAL/OW/IS samples on MiSeq Platform,respiratory,342,root:Host-associated:Human:Respiratory system:Pulmonary system:Lung,University of Pittsburgh,2023-09-26T10:35:30
MGYS00006270,ERP113122,PRJEB30646,Large multicentred study of cystic fibrosis sputum from patients across 11 sites in Europe and the USA.,respiratory,336,root:Host-associated:Human:Respiratory system:Pulmonary system:Sputum,"NATIONAL HEART AND LUNG INSTITUTE, IMPERIAL COLLEGE LONDON",2023-08-03T00:27:34
MGYS00002045,ERP104209,PRJEB22528,EMG produced TPA metagenomics assembly of the Microbial composition of samples from infant gut (human gut metagenome) data set,gut,325,root:Host-associated:Human:Digestive system:Large intestine,EMBL-EBI,2021-10-22T18:11:17
MGYS00001069,SRP015828,PRJNA175553,Eco-pathogenomics of chlamydial infection: The role of the vaginal microbiota,urogenital,325,root:Host-associated:Human:Reproductive system:Vagina,UMIGS,2016-06-13T10:59:40
MGYS00006563,ERP138314,PRJEB53514,EMG produced TPA metagenomics assembly of PRJEB42399 data set (Shared signatures and divergence in skin microbiomes of children with atopic dermatitis and their adult caregivers).,skin,325,root:Host-associated:Human:Skin,EMG,2024-01-31T22:34:26
MGYS00006336,SRP235175,PRJNA594304,Nontuberculous mycobacteria disease in cystic fibrosis,respiratory,318,root:Host-associated:Human:Respiratory system:Pulmonary system:Sputum,University of Michigan Medical School,2023-09-01T22:26:19
MGYS00002338,ERP106359,PRJEB24529,"EMG produced TPA metagenomics assembly of the Liver cirrhosis occurs as a consequence of many chronic liver diseases that are prevalent worldwide. Previous studies have shown an association between the gut microbiota and liver complications such as cirrhosis and other liver injuries. We therefore undertook a whole gut microbiome wide association study of stool samples from 98 liver cirrhosis patients and 83 healthy controls to characterise the faecal microbial communities and their functional composition. In total, we generated 860 Gb of high-quality sequence data and built a reference gene set for the liver cirrhosis cohort containing 2.69 million genes, 36.1% of which was not covered by previously published gene catalogues. (Mgwas study of LC) data set.",gut,305,root:Host-associated:Human:Digestive system:Large intestine:Fecal,EMBL-EBI,2025-04-09T13:01:48
MGYS00006287,ERP010734,PRJEB9607,16S rRNA gene sequences of human airway microbiota,respiratory,304,root:Host-associated:Human:Respiratory system:Pulmonary system:Sputum,SNU,2023-08-24T19:14:12
MGYS00005129,ERP109659,PRJEB27564,Gut microbiota in Parkinson's disease: temporal stability and disease progression,gut,300,root:Host-associated:Human:Digestive system:Large intestine:Fecal,UH/IB,2019-11-14T17:11:09
